Image,Category
data/dataset\dew\2289.jpg,dew
data/dataset\dew\2290.jpg,dew
data/dataset\dew\2291.jpg,dew
data/dataset\dew\2292.jpg,dew
data/dataset\dew\2293.jpg,dew
data/dataset\dew\2294.jpg,dew
data/dataset\dew\2295.jpg,dew
data/dataset\dew\2296.jpg,dew
data/dataset\dew\2297.jpg,dew
data/dataset\dew\2298.jpg,dew
data/dataset\dew\2299.jpg,dew
data/dataset\dew\2300.jpg,dew
data/dataset\dew\2301.jpg,dew
data/dataset\dew\2302.jpg,dew
data/dataset\dew\2303.jpg,dew
data/dataset\dew\2304.jpg,dew
data/dataset\dew\2305.jpg,dew
data/dataset\dew\2306.jpg,dew
data/dataset\dew\2307.jpg,dew
data/dataset\dew\2308.jpg,dew
data/dataset\dew\2309.jpg,dew
data/dataset\dew\2310.jpg,dew
data/dataset\dew\2311.jpg,dew
data/dataset\dew\2312.jpg,dew
data/dataset\dew\2313.jpg,dew
data/dataset\dew\2314.jpg,dew
data/dataset\dew\2315.jpg,dew
data/dataset\dew\2316.jpg,dew
data/dataset\dew\2317.jpg,dew
data/dataset\dew\2318.jpg,dew
data/dataset\dew\2319.jpg,dew
data/dataset\dew\2320.jpg,dew
data/dataset\dew\2321.jpg,dew
data/dataset\dew\2322.jpg,dew
data/dataset\dew\2323.jpg,dew
data/dataset\dew\2324.jpg,dew
data/dataset\dew\2325.jpg,dew
data/dataset\dew\2326.jpg,dew
data/dataset\dew\2327.jpg,dew
data/dataset\dew\2328.jpg,dew
data/dataset\dew\2329.jpg,dew
data/dataset\dew\2330.jpg,dew
data/dataset\dew\2331.jpg,dew
data/dataset\dew\2332.jpg,dew
data/dataset\dew\2333.jpg,dew
data/dataset\dew\2334.jpg,dew
data/dataset\dew\2335.jpg,dew
data/dataset\dew\2336.jpg,dew
data/dataset\dew\2337.jpg,dew
data/dataset\dew\2338.jpg,dew
data/dataset\dew\2339.jpg,dew
data/dataset\dew\2340.jpg,dew
data/dataset\dew\2341.jpg,dew
data/dataset\dew\2342.jpg,dew
data/dataset\dew\2343.jpg,dew
data/dataset\dew\2344.jpg,dew
data/dataset\dew\2345.jpg,dew
data/dataset\dew\2346.jpg,dew
data/dataset\dew\2347.jpg,dew
data/dataset\dew\2348.jpg,dew
data/dataset\dew\2349.jpg,dew
data/dataset\dew\2350.jpg,dew
data/dataset\dew\2351.jpg,dew
data/dataset\dew\2352.jpg,dew
data/dataset\dew\2353.jpg,dew
data/dataset\dew\2354.jpg,dew
data/dataset\dew\2355.jpg,dew
data/dataset\dew\2356.jpg,dew
data/dataset\dew\2357.jpg,dew
data/dataset\dew\2358.jpg,dew
data/dataset\dew\2359.jpg,dew
data/dataset\dew\2360.jpg,dew
data/dataset\dew\2361.jpg,dew
data/dataset\dew\2362.jpg,dew
data/dataset\dew\2363.jpg,dew
data/dataset\dew\2364.jpg,dew
data/dataset\dew\2365.jpg,dew
data/dataset\dew\2366.jpg,dew
data/dataset\dew\2367.jpg,dew
data/dataset\dew\2368.jpg,dew
data/dataset\dew\2369.jpg,dew
data/dataset\dew\2370.jpg,dew
data/dataset\dew\2371.jpg,dew
data/dataset\dew\2372.jpg,dew
data/dataset\dew\2373.jpg,dew
data/dataset\dew\2374.jpg,dew
data/dataset\dew\2375.jpg,dew
data/dataset\dew\2376.jpg,dew
data/dataset\dew\2377.jpg,dew
data/dataset\dew\2378.jpg,dew
data/dataset\dew\2379.jpg,dew
data/dataset\dew\2380.jpg,dew
data/dataset\dew\2381.jpg,dew
data/dataset\dew\2382.jpg,dew
data/dataset\dew\2383.jpg,dew
data/dataset\dew\2384.jpg,dew
data/dataset\dew\2385.jpg,dew
data/dataset\dew\2386.jpg,dew
data/dataset\dew\2387.jpg,dew
data/dataset\dew\2388.jpg,dew
data/dataset\dew\2389.jpg,dew
data/dataset\dew\2390.jpg,dew
data/dataset\dew\2391.jpg,dew
data/dataset\dew\2392.jpg,dew
data/dataset\dew\2393.jpg,dew
data/dataset\dew\2394.jpg,dew
data/dataset\dew\2395.jpg,dew
data/dataset\dew\2396.jpg,dew
data/dataset\dew\2397.jpg,dew
data/dataset\dew\2398.jpg,dew
data/dataset\dew\2399.jpg,dew
data/dataset\dew\2400.jpg,dew
data/dataset\dew\2401.jpg,dew
data/dataset\dew\2402.jpg,dew
data/dataset\dew\2403.jpg,dew
data/dataset\dew\2404.jpg,dew
data/dataset\dew\2405.jpg,dew
data/dataset\dew\2406.jpg,dew
data/dataset\dew\2407.jpg,dew
data/dataset\dew\2408.jpg,dew
data/dataset\dew\2409.jpg,dew
data/dataset\dew\2410.jpg,dew
data/dataset\dew\2411.jpg,dew
data/dataset\dew\2412.jpg,dew
data/dataset\dew\2413.jpg,dew
data/dataset\dew\2414.jpg,dew
data/dataset\dew\2415.jpg,dew
data/dataset\dew\2416.jpg,dew
data/dataset\dew\2417.jpg,dew
data/dataset\dew\2418.jpg,dew
data/dataset\dew\2419.jpg,dew
data/dataset\dew\2420.jpg,dew
data/dataset\dew\2421.jpg,dew
data/dataset\dew\2422.jpg,dew
data/dataset\dew\2423.jpg,dew
data/dataset\dew\2424.jpg,dew
data/dataset\dew\2425.jpg,dew
data/dataset\dew\2426.jpg,dew
data/dataset\dew\2427.jpg,dew
data/dataset\dew\2428.jpg,dew
data/dataset\dew\2429.jpg,dew
data/dataset\dew\2430.jpg,dew
data/dataset\dew\2431.jpg,dew
data/dataset\dew\2432.jpg,dew
data/dataset\dew\2433.jpg,dew
data/dataset\dew\2434.jpg,dew
data/dataset\dew\2435.jpg,dew
data/dataset\dew\2436.jpg,dew
data/dataset\dew\2437.jpg,dew
data/dataset\dew\2438.jpg,dew
data/dataset\dew\2439.jpg,dew
data/dataset\dew\2440.jpg,dew
data/dataset\dew\2441.jpg,dew
data/dataset\dew\2442.jpg,dew
data/dataset\dew\2443.jpg,dew
data/dataset\dew\2444.jpg,dew
data/dataset\dew\2445.jpg,dew
data/dataset\dew\2446.jpg,dew
data/dataset\dew\2447.jpg,dew
data/dataset\dew\2448.jpg,dew
data/dataset\dew\2449.jpg,dew
data/dataset\dew\2450.jpg,dew
data/dataset\dew\2451.jpg,dew
data/dataset\dew\2452.jpg,dew
data/dataset\dew\2453.jpg,dew
data/dataset\dew\2454.jpg,dew
data/dataset\dew\2455.jpg,dew
data/dataset\dew\2456.jpg,dew
data/dataset\dew\2457.jpg,dew
data/dataset\dew\2458.jpg,dew
data/dataset\dew\2459.jpg,dew
data/dataset\dew\2460.jpg,dew
data/dataset\dew\2461.jpg,dew
data/dataset\dew\2462.jpg,dew
data/dataset\dew\2463.jpg,dew
data/dataset\dew\2464.jpg,dew
data/dataset\dew\2465.jpg,dew
data/dataset\dew\2466.jpg,dew
data/dataset\dew\2467.jpg,dew
data/dataset\dew\2468.jpg,dew
data/dataset\dew\2469.jpg,dew
data/dataset\dew\2470.jpg,dew
data/dataset\dew\2471.jpg,dew
data/dataset\dew\2472.jpg,dew
data/dataset\dew\2473.jpg,dew
data/dataset\dew\2474.jpg,dew
data/dataset\dew\2475.jpg,dew
data/dataset\dew\2476.jpg,dew
data/dataset\dew\2477.jpg,dew
data/dataset\dew\2478.jpg,dew
data/dataset\dew\2479.jpg,dew
data/dataset\dew\2480.jpg,dew
data/dataset\dew\2481.jpg,dew
data/dataset\dew\2482.jpg,dew
data/dataset\dew\2483.jpg,dew
data/dataset\dew\2484.jpg,dew
data/dataset\dew\2485.jpg,dew
data/dataset\dew\2486.jpg,dew
data/dataset\dew\2487.jpg,dew
data/dataset\dew\2488.jpg,dew
data/dataset\dew\2489.jpg,dew
data/dataset\dew\2490.jpg,dew
data/dataset\dew\2491.jpg,dew
data/dataset\dew\2492.jpg,dew
data/dataset\dew\2493.jpg,dew
data/dataset\dew\2494.jpg,dew
data/dataset\dew\2495.jpg,dew
data/dataset\dew\2496.jpg,dew
data/dataset\dew\2497.jpg,dew
data/dataset\dew\2498.jpg,dew
data/dataset\dew\2499.jpg,dew
data/dataset\dew\2500.jpg,dew
data/dataset\dew\2501.jpg,dew
data/dataset\dew\2502.jpg,dew
data/dataset\dew\2503.jpg,dew
data/dataset\dew\2504.jpg,dew
data/dataset\dew\2505.jpg,dew
data/dataset\dew\2506.jpg,dew
data/dataset\dew\2507.jpg,dew
data/dataset\dew\2508.jpg,dew
data/dataset\dew\2509.jpg,dew
data/dataset\dew\2510.jpg,dew
data/dataset\dew\2511.jpg,dew
data/dataset\dew\2512.jpg,dew
data/dataset\dew\2513.jpg,dew
data/dataset\dew\2514.jpg,dew
data/dataset\dew\2515.jpg,dew
data/dataset\dew\2516.jpg,dew
data/dataset\dew\2517.jpg,dew
data/dataset\dew\2518.jpg,dew
data/dataset\dew\2519.jpg,dew
data/dataset\dew\2520.jpg,dew
data/dataset\dew\2521.jpg,dew
data/dataset\dew\2522.jpg,dew
data/dataset\dew\2523.jpg,dew
data/dataset\dew\2524.jpg,dew
data/dataset\dew\2525.jpg,dew
data/dataset\dew\2526.jpg,dew
data/dataset\dew\2527.jpg,dew
data/dataset\dew\2528.jpg,dew
data/dataset\dew\2529.jpg,dew
data/dataset\dew\2530.jpg,dew
data/dataset\dew\2531.jpg,dew
data/dataset\dew\2532.jpg,dew
data/dataset\dew\2533.jpg,dew
data/dataset\dew\2534.jpg,dew
data/dataset\dew\2535.jpg,dew
data/dataset\dew\2536.jpg,dew
data/dataset\dew\2537.jpg,dew
data/dataset\dew\2538.jpg,dew
data/dataset\dew\2539.jpg,dew
data/dataset\dew\2540.jpg,dew
data/dataset\dew\2541.jpg,dew
data/dataset\dew\2542.jpg,dew
data/dataset\dew\2543.jpg,dew
data/dataset\dew\2544.jpg,dew
data/dataset\dew\2545.jpg,dew
data/dataset\dew\2546.jpg,dew
data/dataset\dew\2547.jpg,dew
data/dataset\dew\2548.jpg,dew
data/dataset\dew\2549.jpg,dew
data/dataset\dew\2550.jpg,dew
data/dataset\dew\2551.jpg,dew
data/dataset\dew\2552.jpg,dew
data/dataset\dew\2553.jpg,dew
data/dataset\dew\2554.jpg,dew
data/dataset\dew\2555.jpg,dew
data/dataset\dew\2556.jpg,dew
data/dataset\dew\2557.jpg,dew
data/dataset\dew\2558.jpg,dew
data/dataset\dew\2559.jpg,dew
data/dataset\dew\2560.jpg,dew
data/dataset\dew\2561.jpg,dew
data/dataset\dew\2562.jpg,dew
data/dataset\dew\2563.jpg,dew
data/dataset\dew\2564.jpg,dew
data/dataset\dew\2565.jpg,dew
data/dataset\dew\2566.jpg,dew
data/dataset\dew\2567.jpg,dew
data/dataset\dew\2568.jpg,dew
data/dataset\dew\2569.jpg,dew
data/dataset\dew\2570.jpg,dew
data/dataset\dew\2571.jpg,dew
data/dataset\dew\2572.jpg,dew
data/dataset\dew\2573.jpg,dew
data/dataset\dew\2574.jpg,dew
data/dataset\dew\2575.jpg,dew
data/dataset\dew\2576.jpg,dew
data/dataset\dew\2577.jpg,dew
data/dataset\dew\2578.jpg,dew
data/dataset\dew\2579.jpg,dew
data/dataset\dew\2580.jpg,dew
data/dataset\dew\2581.jpg,dew
data/dataset\dew\2582.jpg,dew
data/dataset\dew\2583.jpg,dew
data/dataset\dew\2584.jpg,dew
data/dataset\dew\2585.jpg,dew
data/dataset\dew\2586.jpg,dew
data/dataset\dew\2587.jpg,dew
data/dataset\dew\2588.jpg,dew
data/dataset\dew\2589.jpg,dew
data/dataset\dew\2590.jpg,dew
data/dataset\dew\2591.jpg,dew
data/dataset\dew\2592.jpg,dew
data/dataset\dew\2593.jpg,dew
data/dataset\dew\2594.jpg,dew
data/dataset\dew\2595.jpg,dew
data/dataset\dew\2596.jpg,dew
data/dataset\dew\2597.jpg,dew
data/dataset\dew\2598.jpg,dew
data/dataset\dew\2599.jpg,dew
data/dataset\dew\2600.jpg,dew
data/dataset\dew\2601.jpg,dew
data/dataset\dew\2602.jpg,dew
data/dataset\dew\2603.jpg,dew
data/dataset\dew\2604.jpg,dew
data/dataset\dew\2605.jpg,dew
data/dataset\dew\2606.jpg,dew
data/dataset\dew\2607.jpg,dew
data/dataset\dew\2608.jpg,dew
data/dataset\dew\2609.jpg,dew
data/dataset\dew\2610.jpg,dew
data/dataset\dew\2611.jpg,dew
data/dataset\dew\2612.jpg,dew
data/dataset\dew\2613.jpg,dew
data/dataset\dew\2614.jpg,dew
data/dataset\dew\2615.jpg,dew
data/dataset\dew\2616.jpg,dew
data/dataset\dew\2617.jpg,dew
data/dataset\dew\2618.jpg,dew
data/dataset\dew\2619.jpg,dew
data/dataset\dew\2620.jpg,dew
data/dataset\dew\2621.jpg,dew
data/dataset\dew\2622.jpg,dew
data/dataset\dew\2623.jpg,dew
data/dataset\dew\2624.jpg,dew
data/dataset\dew\2625.jpg,dew
data/dataset\dew\2626.jpg,dew
data/dataset\dew\2627.jpg,dew
data/dataset\dew\2628.jpg,dew
data/dataset\dew\2629.jpg,dew
data/dataset\dew\2630.jpg,dew
data/dataset\dew\2631.jpg,dew
data/dataset\dew\2632.jpg,dew
data/dataset\dew\2633.jpg,dew
data/dataset\dew\2634.jpg,dew
data/dataset\dew\2635.jpg,dew
data/dataset\dew\2636.jpg,dew
data/dataset\dew\2637.jpg,dew
data/dataset\dew\2638.jpg,dew
data/dataset\dew\2639.jpg,dew
data/dataset\dew\2640.jpg,dew
data/dataset\dew\2641.jpg,dew
data/dataset\dew\2642.jpg,dew
data/dataset\dew\2643.jpg,dew
data/dataset\dew\2644.jpg,dew
data/dataset\dew\2645.jpg,dew
data/dataset\dew\2646.jpg,dew
data/dataset\dew\2647.jpg,dew
data/dataset\dew\2648.jpg,dew
data/dataset\dew\2649.jpg,dew
data/dataset\dew\2650.jpg,dew
data/dataset\dew\2651.jpg,dew
data/dataset\dew\2652.jpg,dew
data/dataset\dew\2653.jpg,dew
data/dataset\dew\2654.jpg,dew
data/dataset\dew\2655.jpg,dew
data/dataset\dew\2656.jpg,dew
data/dataset\dew\2657.jpg,dew
data/dataset\dew\2658.jpg,dew
data/dataset\dew\2659.jpg,dew
data/dataset\dew\2660.jpg,dew
data/dataset\dew\2661.jpg,dew
data/dataset\dew\2662.jpg,dew
data/dataset\dew\2663.jpg,dew
data/dataset\dew\2664.jpg,dew
data/dataset\dew\2665.jpg,dew
data/dataset\dew\2666.jpg,dew
data/dataset\dew\2667.jpg,dew
data/dataset\dew\2668.jpg,dew
data/dataset\dew\2669.jpg,dew
data/dataset\dew\2670.jpg,dew
data/dataset\dew\2671.jpg,dew
data/dataset\dew\2672.jpg,dew
data/dataset\dew\2673.jpg,dew
data/dataset\dew\2674.jpg,dew
data/dataset\dew\2675.jpg,dew
data/dataset\dew\2676.jpg,dew
data/dataset\dew\2677.jpg,dew
data/dataset\dew\2678.jpg,dew
data/dataset\dew\2679.jpg,dew
data/dataset\dew\2680.jpg,dew
data/dataset\dew\2681.jpg,dew
data/dataset\dew\2682.jpg,dew
data/dataset\dew\2683.jpg,dew
data/dataset\dew\2684.jpg,dew
data/dataset\dew\2685.jpg,dew
data/dataset\dew\2686.jpg,dew
data/dataset\dew\2687.jpg,dew
data/dataset\dew\2688.jpg,dew
data/dataset\dew\2689.jpg,dew
data/dataset\dew\2690.jpg,dew
data/dataset\dew\2691.jpg,dew
data/dataset\dew\2692.jpg,dew
data/dataset\dew\2693.jpg,dew
data/dataset\dew\2694.jpg,dew
data/dataset\dew\2695.jpg,dew
data/dataset\dew\2696.jpg,dew
data/dataset\dew\2697.jpg,dew
data/dataset\dew\2698.jpg,dew
data/dataset\dew\2699.jpg,dew
data/dataset\dew\2700.jpg,dew
data/dataset\dew\2701.jpg,dew
data/dataset\dew\2702.jpg,dew
data/dataset\dew\2703.jpg,dew
data/dataset\dew\2704.jpg,dew
data/dataset\dew\2705.jpg,dew
data/dataset\dew\2706.jpg,dew
data/dataset\dew\2707.jpg,dew
data/dataset\dew\2708.jpg,dew
data/dataset\dew\2709.jpg,dew
data/dataset\dew\2710.jpg,dew
data/dataset\dew\2711.jpg,dew
data/dataset\dew\2712.jpg,dew
data/dataset\dew\2713.jpg,dew
data/dataset\dew\2714.jpg,dew
data/dataset\dew\2715.jpg,dew
data/dataset\dew\2716.jpg,dew
data/dataset\dew\2717.jpg,dew
data/dataset\dew\2718.jpg,dew
data/dataset\dew\2719.jpg,dew
data/dataset\dew\2720.jpg,dew
data/dataset\dew\2721.jpg,dew
data/dataset\dew\2722.jpg,dew
data/dataset\dew\2723.jpg,dew
data/dataset\dew\2724.jpg,dew
data/dataset\dew\2725.jpg,dew
data/dataset\dew\2726.jpg,dew
data/dataset\dew\2727.jpg,dew
data/dataset\dew\2728.jpg,dew
data/dataset\dew\2729.jpg,dew
data/dataset\dew\2730.jpg,dew
data/dataset\dew\2731.jpg,dew
data/dataset\dew\2732.jpg,dew
data/dataset\dew\2733.jpg,dew
data/dataset\dew\2734.jpg,dew
data/dataset\dew\2735.jpg,dew
data/dataset\dew\2736.jpg,dew
data/dataset\dew\2737.jpg,dew
data/dataset\dew\2738.jpg,dew
data/dataset\dew\2739.jpg,dew
data/dataset\dew\2740.jpg,dew
data/dataset\dew\2741.jpg,dew
data/dataset\dew\2742.jpg,dew
data/dataset\dew\2743.jpg,dew
data/dataset\dew\2744.jpg,dew
data/dataset\dew\2745.jpg,dew
data/dataset\dew\2746.jpg,dew
data/dataset\dew\2747.jpg,dew
data/dataset\dew\2748.jpg,dew
data/dataset\dew\2749.jpg,dew
data/dataset\dew\2750.jpg,dew
data/dataset\dew\2751.jpg,dew
data/dataset\dew\2752.jpg,dew
data/dataset\dew\2753.jpg,dew
data/dataset\dew\2754.jpg,dew
data/dataset\dew\2755.jpg,dew
data/dataset\dew\2756.jpg,dew
data/dataset\dew\2757.jpg,dew
data/dataset\dew\2758.jpg,dew
data/dataset\dew\2759.jpg,dew
data/dataset\dew\2760.jpg,dew
data/dataset\dew\2761.jpg,dew
data/dataset\dew\2762.jpg,dew
data/dataset\dew\2763.jpg,dew
data/dataset\dew\2764.jpg,dew
data/dataset\dew\2765.jpg,dew
data/dataset\dew\2766.jpg,dew
data/dataset\dew\2767.jpg,dew
data/dataset\dew\2768.jpg,dew
data/dataset\dew\2769.jpg,dew
data/dataset\dew\2770.jpg,dew
data/dataset\dew\2771.jpg,dew
data/dataset\dew\2772.jpg,dew
data/dataset\dew\2773.jpg,dew
data/dataset\dew\2774.jpg,dew
data/dataset\dew\2775.jpg,dew
data/dataset\dew\2776.jpg,dew
data/dataset\dew\2777.jpg,dew
data/dataset\dew\2778.jpg,dew
data/dataset\dew\2779.jpg,dew
data/dataset\dew\2780.jpg,dew
data/dataset\dew\2781.jpg,dew
data/dataset\dew\2782.jpg,dew
data/dataset\dew\2783.jpg,dew
data/dataset\dew\2784.jpg,dew
data/dataset\dew\2785.jpg,dew
data/dataset\dew\2786.jpg,dew
data/dataset\dew\2787.jpg,dew
data/dataset\dew\2788.jpg,dew
data/dataset\dew\2789.jpg,dew
data/dataset\dew\2790.jpg,dew
data/dataset\dew\2791.jpg,dew
data/dataset\dew\2792.jpg,dew
data/dataset\dew\2793.jpg,dew
data/dataset\dew\2794.jpg,dew
data/dataset\dew\2795.jpg,dew
data/dataset\dew\2796.jpg,dew
data/dataset\dew\2797.jpg,dew
data/dataset\dew\2798.jpg,dew
data/dataset\dew\2799.jpg,dew
data/dataset\dew\2800.jpg,dew
data/dataset\dew\2801.jpg,dew
data/dataset\dew\2802.jpg,dew
data/dataset\dew\2803.jpg,dew
data/dataset\dew\2804.jpg,dew
data/dataset\dew\2805.jpg,dew
data/dataset\dew\2806.jpg,dew
data/dataset\dew\2807.jpg,dew
data/dataset\dew\2808.jpg,dew
data/dataset\dew\2809.jpg,dew
data/dataset\dew\2810.jpg,dew
data/dataset\dew\2811.jpg,dew
data/dataset\dew\2812.jpg,dew
data/dataset\dew\2813.jpg,dew
data/dataset\dew\2814.jpg,dew
data/dataset\dew\2815.jpg,dew
data/dataset\dew\2816.jpg,dew
data/dataset\dew\2817.jpg,dew
data/dataset\dew\2818.jpg,dew
data/dataset\dew\2819.jpg,dew
data/dataset\dew\2820.jpg,dew
data/dataset\dew\2821.jpg,dew
data/dataset\dew\2822.jpg,dew
data/dataset\dew\2823.jpg,dew
data/dataset\dew\2824.jpg,dew
data/dataset\dew\2825.jpg,dew
data/dataset\dew\2826.jpg,dew
data/dataset\dew\2827.jpg,dew
data/dataset\dew\2828.jpg,dew
data/dataset\dew\2829.jpg,dew
data/dataset\dew\2830.jpg,dew
data/dataset\dew\2831.jpg,dew
data/dataset\dew\2832.jpg,dew
data/dataset\dew\2833.jpg,dew
data/dataset\dew\2834.jpg,dew
data/dataset\dew\2835.jpg,dew
data/dataset\dew\2836.jpg,dew
data/dataset\dew\2837.jpg,dew
data/dataset\dew\2838.jpg,dew
data/dataset\dew\2839.jpg,dew
data/dataset\dew\2840.jpg,dew
data/dataset\dew\2841.jpg,dew
data/dataset\dew\2842.jpg,dew
data/dataset\dew\2843.jpg,dew
data/dataset\dew\2844.jpg,dew
data/dataset\dew\2845.jpg,dew
data/dataset\dew\2846.jpg,dew
data/dataset\dew\2847.jpg,dew
data/dataset\dew\2848.jpg,dew
data/dataset\dew\2849.jpg,dew
data/dataset\dew\2850.jpg,dew
data/dataset\dew\2851.jpg,dew
data/dataset\dew\2852.jpg,dew
data/dataset\dew\2853.jpg,dew
data/dataset\dew\2854.jpg,dew
data/dataset\dew\2855.jpg,dew
data/dataset\dew\2856.jpg,dew
data/dataset\dew\2857.jpg,dew
data/dataset\dew\2858.jpg,dew
data/dataset\dew\2859.jpg,dew
data/dataset\dew\2860.jpg,dew
data/dataset\dew\2861.jpg,dew
data/dataset\dew\2862.jpg,dew
data/dataset\dew\2863.jpg,dew
data/dataset\dew\2864.jpg,dew
data/dataset\dew\2865.jpg,dew
data/dataset\dew\2866.jpg,dew
data/dataset\dew\2867.jpg,dew
data/dataset\dew\2868.jpg,dew
data/dataset\dew\2869.jpg,dew
data/dataset\dew\2870.jpg,dew
data/dataset\dew\2871.jpg,dew
data/dataset\dew\2872.jpg,dew
data/dataset\dew\2873.jpg,dew
data/dataset\dew\2874.jpg,dew
data/dataset\dew\2875.jpg,dew
data/dataset\dew\2876.jpg,dew
data/dataset\dew\2877.jpg,dew
data/dataset\dew\2878.jpg,dew
data/dataset\dew\2879.jpg,dew
data/dataset\dew\2880.jpg,dew
data/dataset\dew\2881.jpg,dew
data/dataset\dew\2882.jpg,dew
data/dataset\dew\2883.jpg,dew
data/dataset\dew\2884.jpg,dew
data/dataset\dew\2885.jpg,dew
data/dataset\dew\2886.jpg,dew
data/dataset\dew\2887.jpg,dew
data/dataset\dew\2888.jpg,dew
data/dataset\dew\2889.jpg,dew
data/dataset\dew\2890.jpg,dew
data/dataset\dew\2891.jpg,dew
data/dataset\dew\2892.jpg,dew
data/dataset\dew\2893.jpg,dew
data/dataset\dew\2894.jpg,dew
data/dataset\dew\2895.jpg,dew
data/dataset\dew\2896.jpg,dew
data/dataset\dew\2897.jpg,dew
data/dataset\dew\2898.jpg,dew
data/dataset\dew\2899.jpg,dew
data/dataset\dew\2900.jpg,dew
data/dataset\dew\2901.jpg,dew
data/dataset\dew\2902.jpg,dew
data/dataset\dew\2903.jpg,dew
data/dataset\dew\2904.jpg,dew
data/dataset\dew\2905.jpg,dew
data/dataset\fogsmog\4075.jpg,fogsmog
data/dataset\fogsmog\4076.jpg,fogsmog
data/dataset\fogsmog\4077.jpg,fogsmog
data/dataset\fogsmog\4078.jpg,fogsmog
data/dataset\fogsmog\4079.jpg,fogsmog
data/dataset\fogsmog\4080.jpg,fogsmog
data/dataset\fogsmog\4081.jpg,fogsmog
data/dataset\fogsmog\4082.jpg,fogsmog
data/dataset\fogsmog\4083.jpg,fogsmog
data/dataset\fogsmog\4084.jpg,fogsmog
data/dataset\fogsmog\4085.jpg,fogsmog
data/dataset\fogsmog\4086.jpg,fogsmog
data/dataset\fogsmog\4087.jpg,fogsmog
data/dataset\fogsmog\4088.jpg,fogsmog
data/dataset\fogsmog\4089.jpg,fogsmog
data/dataset\fogsmog\4090.jpg,fogsmog
data/dataset\fogsmog\4091.jpg,fogsmog
data/dataset\fogsmog\4092.jpg,fogsmog
data/dataset\fogsmog\4093.jpg,fogsmog
data/dataset\fogsmog\4094.jpg,fogsmog
data/dataset\fogsmog\4095.jpg,fogsmog
data/dataset\fogsmog\4096.jpg,fogsmog
data/dataset\fogsmog\4097.jpg,fogsmog
data/dataset\fogsmog\4098.jpg,fogsmog
data/dataset\fogsmog\4099.jpg,fogsmog
data/dataset\fogsmog\4100.jpg,fogsmog
data/dataset\fogsmog\4101.jpg,fogsmog
data/dataset\fogsmog\4102.jpg,fogsmog
data/dataset\fogsmog\4103.jpg,fogsmog
